feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
high_vs_xavgc50_adr14,3.860873,1.2669514,4.717694,1.3840992,0.6190458,118
ct_c_gt_c1_7,4.2352943,0.84076154,4.842437,0.9813095,0.6187064,119
tir_stoch14_gt_80_15,1.1512605,2.5131478,2.8613446,2.7693255,0.61750925,119
tir_c_gt_xavgc8_15,4.9915967,4.0116267,7.3193274,3.7723908,0.61704385,119
tir_xavgc8_rising_15,4.9831934,4.0210953,7.3109245,3.7821503,0.6154518,119
tir_c_lt_c1_5,0.0,0.0,0.2962185,0.4815052,0.6151928,119
tir_c_lt_c1_15,0.0,0.0,0.2962185,0.4815052,0.6151928,119
tir_c_lt_c1_20,0.0,0.0,0.2962185,0.4815052,0.6151928,119
tir_c_lt_c1_30,0.0,0.0,0.2962185,0.4815052,0.6151928,119
consecutive_down_days,0.0,0.0,0.2962185,0.4815052,0.6151928,119
tir_c_lt_c1_10,0.0,0.0,0.2962185,0.4815052,0.6151928,119
es_ext200_adx_slope_14_off5,-0.6725708,7.1029186,4.266472,8.034304,0.6147443,110
ct_es_ext200_stoch14_lt_50_3,0.85714287,1.1445208,0.34033614,0.8409984,0.6145157,119
ext_slope_xavgc21_adr14_2b,1.1879886,0.75090617,0.5270183,1.078338,0.6129528,118
roc_1,11.262531,11.736402,4.0964518,11.697384,0.61262244,119
ns_l_minl55_adr14,5.91049,2.0721695,7.250534,2.1906824,0.61170167,117
ct_es_ext50_roc5_neg_7,3.907563,1.9044622,2.8319325,1.7590832,0.6114722,119
tir_es_ext200_roc5_pos_15,2.3613446,2.7238152,4.2331934,3.0631673,0.6110828,119
tir_stoch14_gt_80_30,1.1512605,2.5131478,2.8760505,2.822812,0.61101836,119
tir_stoch14_gt_80_20,1.1512605,2.5131478,2.8760505,2.822812,0.61101836,119
bb_bw_rank_10_50,0.42783707,0.31951913,0.6180609,0.31171307,0.6102529,117
spread_xavgc8_avgc50_atr14,2.1742558,1.0302724,2.7480216,0.94078726,0.6098783,118
ct_es_ext200_rsi7_gt_70_5,1.3613446,1.4656003,2.3277311,1.5845985,0.6098621,119
ct_es_ext50_roc5_pos_7,2.9831932,1.8910282,4.079832,1.799864,0.6092899,119
ext_ceil_avgc50_atr14_lb1260,0.4557094,0.16776954,0.55976254,0.17080383,0.6091968,35
spread_slope_xavgc21_avgc50_off3_atr14,0.108978376,0.25221986,0.26311848,0.2530822,0.6090516,118
tir_es_ext200_roc5_pos_20,2.3613446,2.7238152,4.245798,3.098612,0.6081605,119
tir_es_ext200_roc5_pos_30,2.3613446,2.7238152,4.245798,3.098612,0.6081605,119
ext_slope_xavgc100_off5,1.5529685,1.4301142,2.4635298,1.5018164,0.6063067,116
ns_l_minl55_atr14,5.510801,1.944048,6.739357,2.031124,0.60486513,117
ct_es_ext200_rsi21_lt_50_5,1.1512605,1.5603054,0.50840336,1.0654147,0.60338676,119
es_ext50_rsi_slope_7_off3,21.06307,17.88898,10.704258,17.240082,0.6008563,118
ct_stoch14_gt_80_7,1.8739495,2.0689583,3.0777311,2.0034938,0.6008412,119
ct_es_ext50_cci14_gt_100_3,0.697479,0.91646576,1.4054621,1.1831559,0.59838533,119
high_vs_avgc50_adr14,4.13556,1.4924445,5.07351,1.5686493,0.5979349,118
w_cci_5,133.86229,22.333113,119.517075,23.998077,0.59776515,118
nr_h_maxh3_atr14,-1.0546172,0.91345346,-0.492601,0.94076014,0.5974064,118
ns_l_minl60_adr14,6.16044,2.176655,7.513849,2.2670424,0.59699315,117
st_es_ext200_roc5_neg_20,2.3135593,2.7971268,4.213983,3.1846821,0.59673893,118
st_es_ext200_roc5_neg_50,2.3135593,2.7971268,4.213983,3.1846821,0.59673893,118
st_es_ext200_roc5_neg_30,2.3135593,2.7971268,4.213983,3.1846821,0.59673893,118
tir_rsi14_gt_60_5,2.815126,1.9913648,3.831933,1.7060517,0.59600013,119
ext_slope_avgc50_off5,1.4716425,1.4380897,2.3741937,1.5144312,0.5959671,118
ns_l_minl10_pct,13.983125,10.177212,21.24607,12.192953,0.59566754,118
ct_h_gt_maxh5_1_10,3.5338984,1.4773636,4.3970766,1.4504536,0.59510916,118
es_ext200_ma_cross_3_20,1.0722767,1.6059363,1.9447438,1.4661627,0.5950684,110
slope_xavgc8_off10_atr14,1.549949,1.0667201,2.1199431,0.9581853,0.5948683,118
ct_l_gt_xavgc21_5,3.9747899,1.4640448,4.57563,1.0103017,0.59471375,119
ct_es_ext50_cci14_lt_neg100_5,0.46218488,0.871293,0.14075631,0.5406693,0.5945012,119
slope_avgc10_off5_atr14,0.78300935,0.68094796,1.1384073,0.59804344,0.59426785,118
spread_xavgc8_avgc50_adr14,2.3447566,1.1297239,2.9695764,1.0519122,0.5939847,118
nr_c_maxh3_pct,-5.501028,6.6590414,0.60303813,10.308303,0.59215045,119
bb_bw_rank_10_lb60,0.42768547,0.31545523,0.61081374,0.3093057,0.59206235,117
ct_es_ext50_stoch14_lt_20_5,0.96638656,1.383515,0.40336138,0.951449,0.5917555,119
pctrank_range_50,88.20588,16.061644,73.607666,24.70876,0.59081125,119
ct_xavgc13_rising_5,4.369748,1.0156865,4.7962184,0.72309047,0.58978826,119
ct_c_gt_xavgc13_5,4.369748,1.0156865,4.7962184,0.72309047,0.58978826,119
ns_l_minl60_atr14,5.745226,2.0477128,6.988102,2.1153715,0.58754504,117
