setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
base,long,CX,320,320,1,0,2021-04-12,6.8569,0.28954321985194864,14.296875,,1,12,3.205153241318917,0.742013601098125,11,1,0,12.9625,1.0517578125
base,long,AN,321,321,1,0,2021-04-13,92.2,2.749999999999999,13.0234375,,1,4,2.243636363636365,-0.13090909090909075,4,1,0,12.9625,1.0517578125
base,long,IART,321,321,1,0,2021-04-13,69.92,2.1149999999999998,-0.39111328125,,1,10,3.3238770685579206,0.14184397163120435,10,1,0,12.9625,1.0517578125
base,long,ICFI,321,321,1,0,2021-04-13,87.7776,2.101099936576916,2.916015625,,1,14,1.8625066449783232,0.3521212712354707,9,5,0,12.9625,1.0517578125
base,long,MIDD,322,322,1,0,2021-04-14,164.01,4.4182857142857115,3.3984375,,1,15,5.022309881013971,1.2946197620279365,11,5,0,12.9625,1.0517578125
base,long,GPK,323,324,2,0,2021-04-16,16.904,0.3431167223416531,2.958984375,,1,6,0.9049938647442592,0.8781881125027091,6,2,0,12.9625,1.0517578125
base,long,AMN,327,327,1,1,2021-04-21,77.09,1.6792857142857156,12.8125,,1,10,4.23989791578051,0.14291790727350595,10,1,0,12.9625,1.0517578125
base,long,IAC,327,327,1,0,2021-04-21,131.2169,5.01398882658294,2.8515625,,1,10,2.144481945918787,0.9829700343042463,6,10,0,12.9625,1.0517578125
base,long,ESTA,328,328,1,0,2021-04-22,71.88,4.953071428571427,16.140625,,1,8,2.071441962418703,1.362790764749146,3,8,0,12.9625,1.0517578125
base,long,LNG,328,328,1,1,2021-04-22,69.4962,1.6205416104088977,13.984375,,1,7,3.7329601144305546,0.4835312628231363,7,1,0,12.9625,1.0517578125
base,long,OM,151,151,1,0,2021-04-22,847.5,45.074896048069924,-9.46875,,1,8,1.1647327472206876,0.3427628537073846,7,8,0,12.9625,1.0517578125
base,long,RL,328,328,1,0,2021-04-22,111.2398,3.0526222055563514,3.50390625,,1,19,5.500208381135621,-0.029511214109627093,12,1,0,12.9625,1.0517578125
base,long,EMN,329,329,1,0,2021-04-23,94.806,2.18923655030954,11.1171875,,1,3,1.2847138033808498,-0.11817825041187983,3,1,0,12.9625,1.0517578125
base,long,HST,329,329,1,0,2021-04-23,14.1407,0.38088526175156456,4.11328125,,1,6,2.6410414332740055,0.04315660785047328,6,2,0,12.9625,1.0517578125
base,long,PFGC,329,329,1,0,2021-04-23,56.26,1.668935714285715,-6.74609375,,1,7,1.845487500588487,0.26364107151263916,6,1,0,12.9625,1.0517578125
base,long,ALG,331,332,2,0,2021-04-28,154.7185,2.986402973999688,1.4912109375,,1,4,1.1124922378884348,0.7927871496390648,4,2,0,12.9625,1.0517578125
base,long,HBM,331,332,2,0,2021-04-28,7.528,0.38721060998413553,8.2265625,,1,8,5.083904132953401,0.7409571024529974,8,4,0,12.9625,1.0517578125
