date,open,high,low,close,volume,ema8,ema21,spread,spread_pct
2021-02-24,386.330000,392.230000,385.270000,391.770000,72433900,389.641267,386.781960,2.859307,0.729843
2021-02-25,390.410000,391.880000,380.780000,382.330000,146670500,388.016541,386.377236,1.639305,0.428767
2021-02-26,384.350000,385.580000,378.230000,380.360000,152701600,386.315087,385.830215,0.484873,0.127477
2021-03-01,385.590000,390.920000,380.570000,389.580000,105348800,387.040623,386.171104,0.869519,0.223194
2021-03-02,389.820000,390.070000,386.000000,386.540000,79595300,386.929374,386.204640,0.724734,0.187493
2021-03-03,385.790000,386.830000,381.310000,381.420000,119940200,385.705069,385.769673,-0.064604,-0.016938
2021-03-04,381.220000,384.000000,371.880000,376.700000,183433000,383.703942,384.945157,-1.241215,-0.329497
2021-03-05,380.460000,384.760000,372.640000,383.630000,152039600,383.687511,384.825597,-1.138087,-0.296663
2021-03-08,384.660000,387.680000,381.420000,381.720000,123149200,383.250286,384.543270,-1.292984,-0.338726
2021-03-09,385.850000,389.910000,385.310000,387.170000,113633600,384.121334,384.782064,-0.660730,-0.170656
2021-03-10,389.690000,391.400000,388.170000,389.580000,109899400,385.334371,385.218240,0.116131,0.029809
2021-03-11,392.230000,395.650000,391.740000,393.530000,86245000,387.155622,385.973855,1.181767,0.300299
2021-03-12,392.070000,394.210000,391.200000,394.060000,64653600,388.689928,386.708959,1.980969,0.502707
2021-03-15,394.330000,396.690000,392.030000,396.410000,73427200,390.405499,387.590872,2.814628,0.710029
2021-03-16,397.070000,397.830000,395.080000,395.910000,73722500,391.628722,388.347156,3.281566,0.828867
2021-03-17,394.530000,398.120000,393.300000,397.260000,97959300,392.880117,389.157415,3.722702,0.937095
2021-03-18,394.480000,396.720000,390.750000,391.480000,115349100,392.568980,389.368559,3.200421,0.817518
2021-03-19,389.880000,391.570000,387.150000,389.480000,113624500,391.882540,389.378690,2.503850,0.642870
2021-03-22,390.030000,394.070000,389.970000,392.590000,73778600,392.039753,389.670627,2.369126,0.603461
2021-03-23,391.910000,393.460000,388.660000,389.500000,90686600,391.475364,389.655115,1.820248,0.467329
2021-03-24,391.000000,392.750000,387.470000,387.520000,97588600,390.596394,389.461014,1.135380,0.292986
2021-03-25,385.980000,390.550000,383.900000,389.700000,116128600,390.397195,389.482740,0.914455,0.234656
2021-03-26,390.930000,396.410000,390.290000,395.980000,114409100,391.637819,390.073400,1.564419,0.395075
2021-03-29,394.400000,396.750000,392.810000,395.780000,108107600,392.558303,390.592182,1.966121,0.496771
2021-03-30,394.420000,395.450000,393.020000,394.730000,76262200,393.040903,390.968347,2.072555,0.525056
2021-03-31,395.340000,398.000000,395.310000,396.330000,112734200,393.771813,391.455770,2.316043,0.584372
2021-04-01,398.400000,400.670000,398.180000,400.610000,99682900,395.291410,392.287973,3.003437,0.749716
2021-04-05,403.460000,406.940000,403.380000,406.360000,91684800,397.751097,393.567248,4.183849,1.029592
2021-04-06,405.760000,407.240000,405.400000,406.120000,62021000,399.610853,394.708407,4.902446,1.207142
2021-04-07,405.940000,406.960000,405.450000,406.590000,55836300,401.161775,395.788552,5.373223,1.321533
2021-04-08,407.930000,408.580000,406.930000,408.520000,57863100,402.796936,396.945956,5.850979,1.432238
2021-04-09,408.390000,411.670000,408.260000,411.490000,61104600,404.728728,398.268142,6.460586,1.570047
2021-04-12,410.850000,411.930000,410.200000,411.640000,56704900,406.264566,399.483766,6.780800,1.647265
2021-04-13,411.530000,413.530000,411.120000,412.860000,56551000,407.730218,400.699787,7.030431,1.702861
2021-04-14,412.830000,413.960000,410.870000,411.450000,61659900,408.556836,401.677079,6.879757,1.672076
2021-04-15,413.740000,416.160000,413.690000,415.870000,60229800,410.181984,402.967345,7.214639,1.734830
2021-04-16,417.250000,417.910000,415.730000,417.260000,82037300,411.754876,404.266677,7.488199,1.794612
2021-04-19,416.260000,416.740000,413.790000,415.210000,78498500,412.522682,405.261524,7.261157,1.748791
2021-04-20,413.910000,415.090000,410.590000,412.170000,81851800,412.444308,405.889568,6.554740,1.590300
2021-04-21,411.510000,416.290000,411.360000,416.070000,66793000,413.250017,406.815062,6.434956,1.546604
2021-04-22,415.890000,416.780000,411.130000,412.270000,97582800,413.032236,407.310965,5.721271,1.387748
2021-04-23,412.870000,418.250000,412.790000,416.740000,73209200,413.856183,408.168150,5.688033,1.364888
2021-04-26,417.440000,418.220000,416.810000,417.610000,52182400,414.690365,409.026500,5.663865,1.356257
2021-04-27,417.930000,418.140000,416.300000,417.520000,51303100,415.319173,409.798636,5.520536,1.322221
2021-04-28,417.810000,419.010000,416.900000,417.400000,51238900,415.781579,410.489669,5.291909,1.267827
2021-04-29,420.320000,420.720000,416.440000,420.060000,78544300,416.732339,411.359699,5.372639,1.279017
2021-04-30,417.630000,418.540000,416.340000,417.300000,85527000,416.858486,411.899727,4.958759,1.188296
2021-05-03,419.430000,419.840000,417.670000,418.200000,68128300,417.156600,412.472479,4.684121,1.120067
2021-05-04,416.070000,416.600000,411.670000,415.620000,101591200,416.815133,412.758617,4.056516,0.976016
2021-05-05,417.380000,417.630000,415.150000,415.750000,60162200,416.578437,413.030561,3.547876,0.853368
2021-05-06,415.830000,419.210000,413.680000,419.070000,74321400,417.132118,413.579601,3.552517,0.847714
2021-05-07,419.890000,422.820000,419.160000,422.120000,67733800,418.240536,414.356001,3.884535,0.920244
2021-05-10,422.500000,422.740000,417.810000,417.940000,81852400,418.173750,414.681819,3.491931,0.835510
