setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
htf,breakout,PL,2025-09-11,long,1099,9.67,9.13,0.6317857142857142,1,0.44318824194460055,WIN,28,4.0,1
htf,breakout,PRCH,2023-11-24,long,974,1.58,1.33,0.16078571428571425,3,1.4304753442914262,WIN,69,7.0,1
htf,breakout,PRTA,2021-06-07,long,359,37.23,28.5,2.282542857142857,1,1.1390804741578917,WIN,25,2.0,1
htf,breakout,QUBT,2024-11-20,long,1226,3.68,2.85,0.5471285714285713,1,-0.6397033865113975,WIN,8,1.0,1
htf,breakout,REAL,2024-11-13,long,1225,4.14,3.83,0.24637142857142846,2,1.217673663458193,WIN,54,5.0,1
htf,breakout,RHP,2020-11-13,long,220,50.5678,47.42881241496598,2.7808613190326823,4,0.47315939015013064,WIN,69,6.0,1
htf,breakout,RR,2024-12-23,long,276,1.96,1.36,0.26157142857142857,1,0.8410704533042053,WIN,13,2.0,1
htf,breakout,SOUN,2024-02-26,long,458,5.75,3.84,0.49607857142857137,2,-0.30237145613454164,WIN,2,1.0,1
htf,breakout,SOUN,2024-11-29,long,651,9.31,7.905,0.8258928571428571,2,0.920216216216216,WIN,21,4.0,1
htf,breakout,XPEV,2020-11-12,long,54,44.73,35.6,3.8907142857142856,68,3.0868367908940697,LOSS,68,6.0,1
