setup,direction,ticker,entry_date,signal_idx,entry_idx,signal_close,adr14,real_stop_dist_adr,fw_min_adr,fw_max_adr,fw_first_adr,fw_last_adr
bf,long,IZEA,2021-01-08,1244,1245,7.28,0.9879,0.0,0.0,-1.6195,0.0,-1.6195
bf,long,JD,2020-05-29,1107,1108,44.7792,2.1022,-0.0167,-0.0167,-1.5656,-0.0167,-1.5656
bf,long,KTOS,2025-09-11,2435,2436,65.66,2.6887,0.0223,0.0223,-0.8331,0.0223,-0.8331
bf,long,MSTR,2024-02-26,2048,2049,68.744,4.5038,-0.0111,-0.0111,-5.0637,-0.0111,-5.0637
bf,long,MU,2025-10-01,2449,2450,167.0776,5.2345,0.3472,0.3472,-3.3795,0.3472,-3.3795
bf,long,ONDS,2025-08-22,1276,1277,3.8,0.4686,0.0,0.0,-1.9421,0.0,-1.9421
bf,long,OSCR,2024-01-24,727,728,11.17,0.7377,-0.2847,-0.2847,-1.0047,-0.2847,-1.0047
bf,long,QBTS,2024-11-21,991,992,1.67,0.2359,-0.1696,-0.1696,-4.3671,-0.1696,-4.3671
bf,long,QUBT,2024-12-16,1620,1621,6.705,1.4319,-0.0873,-0.0873,-7.6086,-0.0873,-7.6086
bf,long,QXO,2025-06-06,2369,2370,16.75,0.8614,-1.1609,-1.1609,-3.6335,-1.1609,-3.6335
bf,long,REAL,2024-11-13,1353,1354,3.78,0.2242,-0.223,-0.223,-0.8028,-0.223,-0.2676
bf,long,RGTI,2024-12-06,912,913,3.18,0.4279,-0.3038,-0.3038,-2.571,-0.3038,-2.571
bf,long,RGTI,2025-10-02,1116,1117,29.85,3.1781,-0.1919,-0.1919,-2.6799,-0.1919,-2.6799
bf,long,RKLB,2024-09-11,952,953,6.15,0.407,0.0,0.0,-1.8673,0.0,-1.8673
bf,long,SNBR,2021-01-06,1260,1261,82.59,4.4239,-0.0543,-0.0543,-0.972,-0.0543,-0.972
bf,long,SOUN,2024-11-21,645,646,6.44,0.604,0.0993,0.0993,-2.3677,0.0993,-2.3677
bf,long,TSE,2020-12-04,1239,1240,36.6873,1.2656,-0.0578,-0.0578,-2.0535,-0.0578,-2.0535
bf,long,TSLA,2024-12-05,2245,2246,357.93,14.6221,-0.1074,-0.1074,-1.3733,-0.1074,-1.3733
bf,long,UAMY,2025-10-01,2448,2449,6.2,0.6614,-0.7106,-0.7106,-1.905,-0.7106,-1.905
bf,long,UAN,2022-03-17,1561,1562,56.4239,3.5653,-0.316,-0.316,-3.2224,-0.316,-3.2224
bf,long,UPST,2021-08-24,171,172,202.96,14.5134,-0.0854,-0.0854,-0.7669,-0.0854,-0.5712
bf,long,WULF,2025-09-09,2131,2132,9.2,0.6268,0.1117,0.1117,-1.6591,0.1117,-1.5634
dtss,short,AAOI,2024-02-16,2043,2044,22.41,1.7078,1.3702,1.3702,-1.6454,1.3702,-1.6454
dtss,short,ACHR,2025-07-18,1147,1148,13.4,0.6562,0.5029,0.5029,-2.4992,0.5029,-2.4992
dtss,short,AEE,2025-11-28,2490,2491,104.5519,1.484,0.3887,0.3887,-1.7345,0.3887,-1.7345
dtss,short,AIR,2022-06-08,1618,1619,52.35,1.7671,0.0679,0.0679,-3.0105,0.0679,-3.0105
dtss,short,ALTS,2025-02-20,2295,2296,7.41,0.64,-0.0469,-0.0469,-1.0469,-0.0469,-1.0469
dtss,short,APP,2025-12-22,1177,1178,721.37,31.548,0.5275,0.5275,0.4247,0.5275,0.4247
dtss,short,ASST,2025-09-10,650,651,125.6,20.047,6.3052,6.3052,3.2306,6.3052,3.2306
dtss,short,AVAV,2023-05-23,1858,1859,109.24,2.5287,1.2457,1.2457,-2.6022,1.2457,-2.6022
dtss,short,AX,2022-01-13,1518,1519,60.2,1.3843,1.1488,1.1488,0.1878,1.1488,0.1878
dtss,short,BETR,2025-10-24,1126,1127,86.07,9.6915,0.6831,0.6831,-0.6893,0.6831,-0.6893
dtss,short,BTBT,2025-10-20,1906,1907,3.65,0.3596,2.5025,2.5025,0.4727,2.5025,0.4727
dtss,short,CELH,2024-05-22,2109,2110,95.96,4.7964,0.6025,0.6025,-0.3023,0.6025,-0.1251
dtss,short,CEPU,2023-08-29,1400,1401,6.4465,0.2959,0.3226,0.3226,-0.352,0.3226,-0.352
dtss,short,CSL,2022-06-08,1618,1619,261.1152,7.3117,-0.1811,-0.1811,-1.5402,-0.1811,-1.5402
dtss,short,CVNA,2023-09-15,1605,1606,55.86,3.7634,0.1435,0.1435,-0.7413,0.1435,-0.7413
dtss,short,CVNA,2026-01-23,2195,2196,478.45,20.5771,0.4102,0.4102,0.2226,0.4102,0.3081
dtss,short,DELL,2022-02-10,1380,1381,55.4665,1.4401,0.488,0.488,-0.7098,0.488,-0.7098
dtss,short,DNLI,2024-11-11,1740,1741,31.35,1.2229,1.6191,1.6191,-0.3843,1.6191,-0.3843
dtss,short,DNTH,2024-11-08,1606,1607,29.9,1.1306,2.0963,2.0963,-1.6717,2.0963,-1.6717
dtss,short,EBC,2025-02-06,1081,1082,18.282,0.4898,0.3838,0.3838,-0.1575,0.3838,-0.1575
dtss,short,EME,2025-01-22,2275,2276,526.0696,13.3592,1.3543,1.3543,0.4766,1.3543,0.5401
dtss,short,FFIC,2024-11-25,2238,2239,16.5086,0.5787,0.7884,0.7884,0.0158,0.7884,0.0158
dtss,short,FITB,2022-02-10,1537,1538,41.6513,1.2435,0.6401,0.6401,-0.0681,0.6401,-0.0681
dtss,short,FRT,2024-11-29,2241,2242,110.0215,1.4189,0.3695,0.3695,-1.8605,0.3695,-1.8605
dtss,short,FTAI,2025-01-10,2268,2269,166.8465,6.5906,1.9289,1.9289,0.183,1.9289,0.183
dtss,short,FUBO,2025-09-23,2204,2205,54.72,2.9529,0.6502,0.6502,-1.463,0.6502,-1.463
dtss,short,GAP,2024-06-03,2116,2117,27.3318,0.961,1.758,1.758,-1.8954,1.758,-1.8954
dtss,short,GFS,2023-04-03,357,358,72.18,2.2828,0.0832,0.0832,-1.5464,0.0832,-1.5464
dtss,short,GH,2025-05-01,1649,1650,47.23,2.2521,2.5265,2.5265,-0.4662,2.5265,-0.4662
dtss,short,GRPN,2025-08-07,2411,2412,30.67,1.7157,7.2331,7.2331,2.6286,7.2331,2.6286
dtss,short,GTM,2025-11-04,1361,1362,11.8,0.3768,1.3536,1.3536,-1.5234,1.3536,-1.5234
dtss,short,HAL,2022-06-09,1619,1620,39.6552,1.4277,-0.084,-0.084,-2.5791,-0.084,-2.5791
dtss,short,HCC,2022-06-07,1296,1297,33.8627,1.6122,2.7582,2.7582,0.539,2.7582,0.539
dtss,short,HNRG,2022-08-23,1670,1671,7.34,0.4721,1.2922,1.2922,-0.0849,1.2922,0.3175
dtss,short,INVA,2022-04-05,1574,1575,19.85,0.6129,1.4033,1.4033,-0.2937,1.4033,-0.2774
dtss,short,ISRG,2021-12-31,1509,1510,363.3,8.5731,0.3324,0.3324,-0.3254,0.3324,-0.1516
dtss,short,KYMR,2024-11-11,1061,1062,50.95,2.2599,1.0089,1.0089,0.0863,1.0089,0.0863
dtss,short,LABU,2024-11-11,2228,2229,145.2655,6.3918,0.8691,0.8691,-1.2078,0.8691,-1.2078
dtss,short,LOPE,2024-08-01,2157,2158,155.95,3.326,0.475,0.475,-2.1227,0.475,-2.1227
dtss,short,LTH,2025-05-08,898,899,32.97,1.1634,1.7364,1.7364,-2.5959,1.7364,-2.5959
dtss,short,MET,2022-04-21,1585,1586,64.109,1.1805,0.5547,0.5547,-2.3989,0.5547,-2.3989
dtss,short,MOD,2025-01-22,2275,2276,139.58,5.1043,1.246,1.246,0.4898,1.246,0.4898
dtss,short,MPC,2023-04-03,1823,1824,126.4099,3.9092,0.9593,0.9593,-0.343,0.9593,-0.343
dtss,short,MSFT,2025-10-28,2468,2469,529.3189,6.8865,3.2103,3.2103,0.4989,3.2103,0.4989
dtss,short,NAIL,2024-10-18,2153,2154,167.7119,8.1863,0.9376,0.9376,-2.3543,0.9376,-2.3543
dtss,short,NEOV,2025-01-06,1163,1164,5.68,0.4046,0.3955,0.3955,-2.1009,0.3955,-2.1009
dtss,short,NOW,2023-09-11,1933,1934,120.014,2.5859,0.6056,0.6056,-0.5592,0.6056,-0.5592
dtss,short,NSP,2023-06-09,1870,1871,112.6872,2.328,1.2559,1.2559,0.8514,1.2559,0.8514
dtss,short,NUE,2022-01-05,1512,1513,109.8595,4.0216,2.2401,2.2401,0.1563,2.2401,0.1563
dtss,short,PACB,2026-01-23,2527,2528,2.67,0.2013,0.2981,0.2981,-0.4472,0.2981,-0.4472
dtss,short,PDS,2024-07-31,2156,2157,71.98,2.3957,2.9595,2.9595,0.6679,2.9595,0.6679
dtss,short,PNR,2024-05-15,2104,2105,81.7213,1.557,1.6719,1.6719,0.5047,1.6719,0.5047
dtss,short,PR,2022-06-08,1547,1548,8.3667,0.4525,0.2511,0.2511,-0.058,0.2511,-0.058
dtss,short,PRKS,2022-04-21,1585,1586,74.4,2.7593,0.7864,0.7864,-0.9169,0.7864,0.0834
dtss,short,PSIX,2025-09-24,2370,2371,115.78,6.3724,0.6152,0.6152,-0.5634,0.6152,-0.5634
dtss,short,REPX,2025-01-21,2268,2269,34.6685,1.0082,0.3983,0.3983,-0.2179,0.3983,-0.2179
dtss,short,ROOT,2024-05-01,880,881,69.65,6.2817,2.6935,2.6935,-1.7002,2.6935,-1.7002
dtss,short,SERV,2025-01-06,207,208,19.03,2.719,1.9566,1.9566,-0.3347,1.9566,-0.3347
dtss,short,SFM,2025-06-03,2366,2367,179.53,5.0935,0.4849,0.4849,-1.6786,0.4849,-1.6786
dtss,short,SLS,2025-10-20,2462,2463,2.14,0.1313,2.5885,2.5885,-1.3704,2.5885,-1.3704
