setup,ticker,entry_date,cluster_size,offset_from_rm,is_entry_max_high_in_cluster_to_entry,is_entry_max_close_in_cluster_to_entry,new_20d_high,new_50d_high,new_100d_high,new_20d_close,new_50d_close,dist_to_pre20_high_adr,dist_to_pre50_high_adr,dist_to_pre100_high_adr,entry_rng_adr,close_pos,adr
base,AXTI,2025-10-24,1,1,True,True,True,True,True,True,True,0.7771135781383426,0.7771135781383426,0.7771135781383426,1.4545972103615135,0.9041095890410954,0.5018571428571429
base,BAP,2025-12-02,1,1,True,True,True,False,False,False,False,-0.22189856065798086,-1.2126456477039018,-2.356922549691567,0.8360178204249451,0.6728837876614086,8.337142857142856
base,CLS,2025-05-13,1,1,True,True,True,True,False,True,True,1.9927364157005165,0.11537924291102176,-6.7271965358290275,1.9731806118172937,0.9127849355797825,5.113571428571428
base,DRN,2024-07-11,1,1,True,True,True,True,False,True,True,1.9208806904575153,1.707917130473153,-2.1035125778377304,1.5246877789375928,0.7578947368421064,0.29942988418281874
base,EAT,2024-09-16,3,0,True,True,False,False,False,True,True,-0.5456651460505155,-0.5456651460505155,-1.4448598233450218,1.1105438535816765,0.6332179930795871,2.602328571428573
base,EOSE,2025-09-12,1,1,True,True,True,True,True,True,True,0.1951751727482092,0.1951751727482092,0.1951751727482092,1.8142805188507691,0.9625818521983153,0.5892142857142859
base,ERO,2025-11-24,1,1,True,True,True,False,False,True,False,0.0,-1.478599221789883,-1.478599221789883,1.3229571984435793,0.9926470588235309,1.028
base,FIX,2023-02-23,1,1,True,True,True,True,True,True,True,2.1458970342745407,2.1458970342745407,1.9858564400621719,3.450827715816229,0.6816037735849051,3.640419080108182
base,FIX,2025-09-10,2,1,True,True,True,True,True,True,True,0.8194765229432704,0.8194765229432704,0.8194765229432704,1.4963184236729345,0.8575886524822709,23.531073468336665
base,FTAI,2025-12-30,1,1,True,True,True,True,True,True,True,1.9989349842071533,0.5505664944648743,0.5505664944648743,3.4199929574940904,0.9051724421904102,6.7721991539001465
base,IONQ,2025-09-11,1,3,True,True,True,False,False,True,True,0.096914681972363,-0.34973559146549094,-0.7963858649033418,1.6222675025808786,0.9532467532467532,2.3732214285714273
base,IONQ-WS,2025-09-09,1,1,True,True,False,False,False,False,False,-1.2604478612613428,-1.7342332275510683,-2.208018593840791,1.4369999553032666,0.919129082426128,2.2372999999999985
base,IREN,2025-06-24,1,1,True,True,True,True,False,True,True,0.9321681231793568,0.9321681231793568,-3.0295464003329156,1.0195588847274224,0.8857142857142855,0.6865714285714289
