feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry,class
nr_h_maxh55_atr14,-0.22401857,0.58062255,1.7217612,0.8498892,2.2894511,73,fade
nr_h_maxh3_adr14,-0.7580206,0.9970647,1.5699244,1.0251447,2.2708452,73,fade
nr_h_maxh50_atr14,-0.22892813,0.5854751,1.7145883,0.8565435,2.2690225,73,fade
nr_h_maxh60_atr14,-0.19845487,0.57137895,1.7225759,0.84804004,2.2652595,73,fade
nr_h_maxh63_atr14,-0.1673629,0.5331236,1.7291558,0.8403683,2.2567708,73,fade
aroon_up_14,98.04495,7.918679,80.184166,7.919114,2.255402,73,fade
st_h_gt_maxh10_1_15,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73,fade
st_h_gt_maxh10_1_20,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73,fade
st_h_gt_maxh10_1_50,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73,fade
st_h_gt_maxh10_1_30,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73,fade
nr_h_maxh65_atr14,-0.163006,0.5331064,1.7315452,0.8416051,2.2511165,73,fade
nr_h_maxh70_atr14,-0.15639412,0.5341489,1.7340385,0.8414436,2.246654,73,fade
tir_h_gt_maxh65_1_30,0.69863015,0.700891,0.0,0.31344798,2.2288551,73,fade
tir_h_gt_maxh65_1_10,0.69863015,0.700891,0.0,0.31344798,2.2288551,73,fade
tir_h_gt_maxh65_1_15,0.69863015,0.700891,0.0,0.31344798,2.2288551,73,fade
tir_h_gt_maxh65_1_20,0.69863015,0.700891,0.0,0.31344798,2.2288551,73,fade
tir_h_gt_maxh65_1_5,0.69863015,0.700891,0.0,0.31344798,2.2288551,73,fade
ct_c_gt_maxc10_1_3,1.6986301,0.77611804,0.45890412,0.5568174,2.2264497,73,fade
nr_h_maxh35_adr14,-0.3917901,0.74903363,1.8094726,0.9906902,2.2219486,73,fade
nr_h_maxh75_atr14,-0.10792612,0.4940713,1.7376889,0.8351281,2.2099783,73,fade
nr_h_maxh80_atr14,-0.10792612,0.4940713,1.7444646,0.8418767,2.2003112,73,fade
nr_h_maxh85_atr14,-0.10792612,0.4940713,1.7444646,0.8418767,2.2003112,73,fade
nr_h_maxh90_atr14,-0.10533087,0.48909083,1.7444646,0.8412948,2.198748,73,fade
nr_h_maxh95_atr14,-0.097705655,0.48011625,1.7444646,0.8402603,2.1923804,73,fade
nr_h_maxh40_adr14,-0.33463654,0.74584246,1.8349868,0.9898788,2.1918073,73,fade
nr_h_maxh45_adr14,-0.3028604,0.67964464,1.8415444,0.980783,2.1864214,73,fade
cci_10,127.88784,51.5366,-36.038918,75.08301,2.1832738,73,fade
nr_h_maxh55_adr14,-0.24804375,0.6292798,1.8572876,0.965938,2.179572,73,fade
nr_h_maxh100_atr14,-0.08438495,0.47679585,1.7444646,0.8398821,2.1775076,73,fade
nr_h_maxh105_atr14,-0.08438495,0.47679585,1.7478509,0.8420244,2.175989,73,fade
nr_h_maxh50_adr14,-0.25343823,0.6348173,1.8498414,0.97295004,2.161755,73,fade
nr_h_maxh126_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73,fade
nr_h_maxh115_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73,fade
nr_h_maxh110_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73,fade
