feature,mean_winner,mean_loser,std_winner,std_loser,n_winner,n_loser,sep_z
m_ct_xavgc50_falling_30,2.6266666666666665,1.929471032745592,5.651532519575538,4.557057409041338,75,794,0.13581170095791378
w_st_avgc50_falling_30,4.195652173913044,5.416601409553642,8.889108201891812,9.094004365502503,92,1277,0.1357796085228985
ct_big_gap_up_15,0.09782608695652174,0.14330462020360218,0.2987072001139317,0.36797255939707324,92,1277,0.13570247425036475
slope_xavgc100_off15_adr14,0.6889496678891389,0.7327658728686925,0.35646206123329743,0.28564828768295225,92,1277,0.1356531880160372
w_tir_c_gt_avgc50_10,8.83695652173913,9.196554424432263,2.8833633212005925,2.3967168046285656,92,1277,0.13563439368750344
w_nr_c_maxh80_adr14,2.2635081031105737,1.764293578832461,2.8179467600286365,4.377188274277155,88,1049,0.13561656749719472
w_ct_avgc200_rising_7,2.5760869565217392,2.1370399373531717,3.325670041228489,3.1467525693530107,92,1277,0.13561517700641057
m_ct_xavgc21_gt_xavgc50_7,2.141304347826087,1.7447141738449492,3.000298599568765,2.84758832415268,92,1277,0.13558915392177118
ct_c_upper_half_20,11.25,10.99216914643696,1.9364916731037085,1.8670383088202016,92,1277,0.1355519112250759
m_ct_outside_bar_10,1.0869565217391304,1.206734534064213,0.8207765542064549,0.9424764296991404,92,1277,0.1355378168705043
m_outside_bars_10,1.0869565217391304,1.206734534064213,0.8207765542064549,0.9424764296991404,92,1277,0.1355378168705043
ct_es_ext200_cci14_gt_100_3,1.7934782608695652,1.6374314800313234,1.2001652219431196,1.1004169825415777,92,1277,0.13553118055794008
w_st_adx14_lt_20_15,0.4782608695652174,0.985121378230227,3.478278786384815,3.984365734047754,92,1277,0.1355280913555023
m_st_aroon_down14_gt_70_30,8.586666666666666,9.741813602015114,9.064473767664877,7.945754915095263,75,794,0.13552513873162983
w_ct_h_gt_h1_7,4.065217391304348,4.200469851213782,1.0142322146277574,0.9828783931935015,92,1277,0.1354314519563377
st_es_ext50_rsi14_lt_50_5,0.34782608695652173,0.5998433829287392,1.8183121179909876,1.9025061776551826,92,1277,0.13542870514555286
st_adx14_gt_30_15,1.3804347826086956,1.9584964761158967,4.134662884870316,4.3992376364015,92,1277,0.1354091446172201
ct_avgc100_rising_7,6.858695652173913,6.930305403288958,0.6390501491805656,0.3887093636017271,92,1277,0.13539257709019614
w_ct_es_ext200_adx14_lt_20_50,3.2111111111111112,4.227088402270884,6.172600647341488,8.63502453614022,90,1233,0.13536461972616168
m_st_inside_bar_20,4.034090909090909,4.664136622390892,4.783710058383035,4.525238327694709,88,1054,0.13531130722916315
ct_v_gt_2x_avgv20_10,0.31521739130434784,0.4048551292090838,0.6099783427264592,0.7113554427897502,92,1277,0.13528008319077736
w_tir_xavgc8_gt_xavgc50_15,14.054347826086957,13.605324980422866,3.03591733673526,3.580586346062476,92,1277,0.13527057333532935
es_ext50_slope_off20,1.9567841757898745,1.6688835066374896,2.2966472919038656,1.9457045930558206,92,1277,0.13526488306103798
m_st_v_gt_avgv20_15,1.2417582417582418,0.890728476821192,2.6846918272997757,2.502952053089833,91,1208,0.13525005080099844
st_h_lt_xavgc8_30,10.782608695652174,11.599060297572436,5.580236095199317,6.461164359795561,92,1277,0.13524597186333587
lower_low_count_15,0.2717391304347826,0.350822239624119,0.55674211027466,0.6125846091189877,92,1277,0.13510865960328136
tir_c_gt_avgc100_15,13.173913043478262,13.621769772905246,3.6210880996355894,2.977753829413043,92,1277,0.135097466383728
m_st_es_ext50_cci14_gt_100_15,-0.6593406593406593,-0.8120860927152318,1.31841470646278,0.9048994611753421,91,1208,0.13508674644608762
es_ext200_cci_30,113.53423334478022,104.2194345208663,73.2235306876513,64.44365586762308,91,1264,0.13504907293053367
ext_peak_xavgc50_lb50,0.6822688890540082,0.6522543002780565,0.21394130227821664,0.23036358932488055,92,1277,0.1350158766863578
