setup,class,ticker,entry_date,direction,entry_idx,entry_close,adr,stop,stop_distance_adr,outcome,reason,bars,move_adr,had_earnings,status
bf,breakout,UPST,2021-08-24,long,172.0,219.45,15.142000000000005,204.2,1.0071324791969354,WIN,exit_fired,39.0,9.749702813366792,1.0,done
bf,breakout,WULF,2025-09-09,long,1404.0,10.3,0.6632642857142856,9.13,1.7640027138503291,WIN,exit_fired,25.0,7.779704276468118,1.0,done
dtss,fade,AAOI,2024-02-16,short,1038.0,21.34,1.8699214285714285,24.75,1.8236060338669693,WIN,earnings_flat_favorable,2.0,1.1497809304439828,1.0,done
dtss,fade,ACHR,2025-07-18,short,1148.0,13.29,0.6821214285714285,13.73,0.6450464412494652,WIN,earnings_flat_favorable,15.0,5.233672261955871,1.0,done
dtss,fade,AEE,2025-11-28,short,1485.0,104.8773,1.3374693812216927,105.12876884344148,0.18801839277380059,WIN,exit_fired,12.0,5.6437927521787605,1.0,done
dtss,fade,AIR,2022-06-08,short,613.0,50.87,1.8071428571428574,52.47,0.8853754940711469,WIN,exit_fired,9.0,5.40079051383399,1.0,done
dtss,fade,ALTS,2025-02-20,short,1290.0,6.95,0.6378571428571427,7.38,0.6741321388577824,WIN,exit_fired,38.0,4.985442329227325,1.0,done
dtss,fade,APP,2025-12-22,short,1178.0,733.6,29.224428571428582,738.01,0.15090115412252844,WIN,earnings_flat_favorable,33.0,8.919934888131746,1.0,done
dtss,fade,ASST,2025-09-10,short,651.0,161.8,26.861285714285714,252.0,3.3579926500699355,WIN,exit_fired,77.0,5.478516611799245,1.0,done
dtss,fade,AVAV,2023-05-23,short,853.0,109.34,2.6158,112.39,1.1659912837372877,WIN,exit_fired,5.0,6.089915131126236,1.0,done
dtss,fade,AX,2022-01-13,short,513.0,60.52,1.4293071428571444,61.7903,0.888752292569325,WIN,earnings_flat_favorable,8.0,5.569131897073002,1.0,done
dtss,fade,BETR,2025-10-24,short,1127.0,79.52,10.209357142857142,92.69,1.2899930735809588,WIN,exit_fired,1.0,0.09990834738440188,1.0,done
dtss,fade,BTBT,2025-10-20,short,1457.0,4.22,0.3971428571428571,4.55,0.8309352517985614,WIN,earnings_flat_favorable,18.0,4.280575539568345,1.0,done
dtss,fade,CELH,2024-05-22,short,1104.0,93.49,4.957142857142857,98.85,1.0812680115273774,WIN,earnings_flat_favorable,50.0,10.51815561959654,1.0,done
dtss,fade,CEPU,2023-08-29,short,920.0,6.3771,0.30459916127285985,6.541950204081633,0.5412037360600612,WIN,exit_fired,24.0,5.355234706436936,1.0,done
dtss,fade,CSL,2022-06-08,short,613.0,255.9063,6.75468109362477,259.7913714660569,0.5751672672931551,WIN,exit_fired,13.0,3.837279605170926,1.0,done
dtss,fade,CVNA,2023-09-15,short,932.0,52.2,3.872714285714285,56.4,1.0845106791102577,WIN,earnings_flat_favorable,33.0,6.767863071304736,1.0,done
dtss,fade,CVNA,2026-01-23,short,1522.0,473.31,20.119999999999997,486.89,0.6749502982107349,WIN,earnings_flat_favorable,16.0,6.0820079522862835,1.0,done
dtss,fade,DELL,2022-02-10,short,532.0,55.4208,1.4016827629060293,56.169236363636365,0.5339556021111901,WIN,earnings_flat_favorable,8.0,2.5655591230532147,1.0,done
dtss,fade,DNLI,2024-11-11,short,1223.0,31.58,1.2921785714285712,33.33,1.3543019817031041,WIN,exit_fired,42.0,9.936707111467346,1.0,done
dtss,fade,DNTH,2024-11-08,short,1222.0,29.06,1.3434214285714288,32.27,2.3894214665114157,WIN,exit_fired,12.0,3.870713902136867,1.0,done
dtss,fade,EBC,2025-02-06,short,1082.0,18.4555,0.4491676306023939,18.469956005221935,0.03218398708416852,WIN,exit_fired,47.0,9.313449400593795,1.0,done
dtss,fade,EME,2025-01-22,short,1270.0,534.8813,13.524966603036082,544.1620628687102,0.6861948824795522,WIN,earnings_flat_favorable,23.0,10.179293157669965,1.0,done
dtss,fade,FFIC,2024-11-25,short,1233.0,16.609,0.5575615496480808,16.964907142857147,0.6383279892269919,WIN,earnings_flat_favorable,40.0,5.4386820646330065,1.0,done
dtss,fade,FITB,2022-02-10,short,532.0,41.592,1.2187049348841958,42.44721009771987,0.7017367971855576,WIN,exit_fired,17.0,4.9747070242036,1.0,done
dtss,fade,FRT,2024-11-29,short,1236.0,109.1978,1.427574685207833,110.54580541791685,0.9442626237944273,WIN,exit_fired,29.0,7.638269376016932,1.0,done
dtss,fade,FTAI,2025-01-10,short,1263.0,172.02650451660156,7.024173259735107,179.5592041015625,1.07239660902741,WIN,exit_fired,11.0,10.414365206843721,1.0,done
dtss,fade,FUBO,2025-09-23,short,1438.0,53.4,3.111428571428571,56.64,1.0413223140495875,WIN,exit_fired,25.0,3.12396694214876,1.0,done
dtss,fade,GAP,2024-06-03,short,1111.0,27.3979,1.0182758948695414,29.021199621081635,1.5941648322035629,WIN,exit_fired,39.0,5.65583456214276,1.0,done
dtss,fade,GFS,2023-04-03,short,358.0,70.71,2.3127214285714315,72.37,0.7177691093671377,WIN,earnings_flat_favorable,24.0,4.717386134455071,1.0,done
dtss,fade,GH,2025-05-01,short,1338.0,48.87,2.4678285714285724,52.92,1.64111885521106,WIN,exit_fired,18.0,4.3276912033713835,1.0,done
dtss,fade,GRPN,2025-08-07,short,1406.0,36.89,2.107857142857143,43.08,2.9366316502880365,WIN,earnings_flat_favorable,63.0,7.789901728227719,1.0,done
dtss,fade,GTM,2025-11-04,short,1362.0,11.69,0.4167857142857145,12.31,1.487574978577551,WIN,exit_fired,15.0,4.966580976863751,1.0,done
dtss,fade,HAL,2022-06-09,short,614.0,38.9539,1.3694143685242426,39.535301492537315,0.4245621383130863,WIN,earnings_flat_favorable,25.0,9.003410715842602,1.0,done
dtss,fade,HCC,2022-06-07,short,612.0,37.4496,1.834047036222497,38.30934149592693,0.46876741923571563,WIN,exit_fired,28.0,4.556644314429762,1.0,done
dtss,fade,HNRG,2022-08-23,short,665.0,7.14,0.49850714285714304,7.95,1.6248513418635644,WIN,exit_fired,24.0,3.249702683727127,1.0,done
dtss,fade,INVA,2022-04-05,short,569.0,19.61,0.6628571428571431,20.71,1.659482758620691,WIN,earnings_flat_favorable,14.0,3.62068965517241,1.0,done
dtss,fade,ISRG,2021-12-31,short,504.0,359.3,8.76957857142857,366.15,0.7811093707874832,WIN,earnings_flat_favorable,12.0,7.507772404766157,1.0,done
dtss,fade,KYMR,2024-11-11,short,1062.0,51.84,2.1848571428571417,53.23,0.636197201516932,WIN,exit_fired,6.0,4.119262455865047,1.0,done
dtss,fade,LABU,2024-11-11,short,1223.0,142.7053,6.758984139358188,150.82053337583986,1.20065873931914,WIN,exit_fired,6.0,5.993134347530287,0.0,done
dtss,fade,LOPE,2024-08-01,short,1152.0,153.22,3.626721428571429,157.53,1.1884011730390105,WIN,earnings_flat_favorable,2.0,1.6212990481367455,1.0,done
dtss,fade,LTH,2025-05-08,short,899.0,30.76,1.4504999999999997,34.99,2.916235780765254,WIN,exit_fired,27.0,2.847294036539127,1.0,done
dtss,fade,MET,2022-04-21,short,580.0,63.3479,1.1868410380739267,64.76389105895502,1.1930755792308743,WIN,earnings_flat_favorable,8.0,3.683644110499391,1.0,done
dtss,fade,MOD,2025-01-22,short,1270.0,142.68,5.037142857142859,145.94,0.647192285876345,WIN,earnings_flat_favorable,8.0,9.173851389676685,1.0,done
dtss,fade,MPC,2023-04-03,short,818.0,127.1693,3.8724172423597603,130.16008492332648,0.7723302361663793,WIN,earnings_flat_favorable,19.0,3.1910042814678734,1.0,done
dtss,fade,MSFT,2025-10-28,short,,,,,,,no_forward_window_after_earnings,,,,skip
dtss,fade,NAIL,2024-10-18,short,1207.0,173.348,8.259482651173773,175.38762007616666,0.24694283677401843,WIN,exit_fired,22.0,5.7834736166207135,0.0,done
dtss,fade,NEOV,2025-01-06,short,1164.0,5.69,0.39315714285714287,5.84,0.38152683405399374,WIN,earnings_flat_favorable,21.0,6.1298644671341895,1.0,done
dtss,fade,NOW,2023-09-11,short,928.0,121.188,2.5051428571428604,121.57999999999998,0.1564781021897735,WIN,exit_fired,31.0,4.115533759124083,1.0,done
dtss,fade,NSP,2023-06-09,short,865.0,113.9249,2.474977769113121,115.61094905927733,0.6812380621428826,WIN,exit_fired,20.0,4.297614359506534,1.0,done
dtss,fade,NUE,2022-01-05,short,507.0,115.1615,3.8472382162717764,118.86821386082138,0.9634739655953583,WIN,exit_fired,13.0,6.9589660153523285,1.0,done
dtss,fade,PACB,2026-01-23,short,1522.0,2.58,0.2005357142857143,2.73,0.747996438112199,WIN,earnings_flat_favorable,13.0,3.690115761353517,1.0,done
dtss,fade,PDS,2024-07-31,short,1151.0,76.85,2.5814285714285723,79.07,0.8599889319313773,WIN,exit_fired,9.0,2.6961815163253977,1.0,done
dtss,fade,PNR,2024-05-15,short,1099.0,83.5779,1.4819373489364014,84.32448208744711,0.5037878881876736,WIN,exit_fired,32.0,6.854203389428116,1.0,done
dtss,fade,PR,2022-06-08,short,613.0,8.1918,0.44531013053822355,8.48030522945571,0.6478748397369912,WIN,exit_fired,27.0,6.144930942156321,1.0,done
dtss,fade,PRKS,2022-04-21,short,580.0,70.43,3.119285714285714,76.57,1.9683993588275661,WIN,earnings_flat_favorable,9.0,0.9970231280055002,1.0,done
