setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,INTU,283,283,1,0,2021-02-17,401.6288,9.18773163002628,,70.3125,1,3,1.5317194782280863,0.4404869282279442,3,1,0,56.875,76.69375000000002
dtss,short,EW,250,250,1,0,2020-12-29,90.0,2.1307142857142845,,80.0625,1,18,2.801877304726786,0.8119342943345649,18,3,0,56.875,76.69375000000002
dtss,short,EW,1419,1419,1,0,2025-08-26,81.27,1.3771428571428583,24.21875,79.3125,1,45,6.513485477178417,2.461618257261409,33,45,0,56.875,76.69375000000002
dtss,short,POST,250,252,3,0,2020-12-31,66.0929,1.2630749637412169,,67.375,1,22,4.773759159987432,1.1189262303392506,22,15,0,56.875,76.69375000000002
dtss,short,POST,711,712,2,0,2022-10-28,90.7,2.0496357142857127,,77.75,1,13,3.020048858856453,0.7611108594210138,10,2,0,56.875,76.69375000000002
dtss,short,ACGL,251,251,1,0,2020-12-30,33.833,0.8272815713795304,,74.1875,1,26,5.000064969036827,1.8160946685542048,20,4,0,56.875,76.69375000000002
dtss,short,AMX,254,255,2,0,2021-01-06,13.0348,0.27616660903822304,,55.53125,1,21,6.013374167608279,0.25048068979548377,17,4,0,56.875,76.69375000000002
dtss,short,EGO,254,254,1,0,2021-01-05,14.1566,0.5355444303558793,,45.75,1,34,7.251514964171247,0.1865415083420789,15,2,0,56.875,76.69375000000002
dtss,short,EGO,575,576,2,0,2022-04-14,12.1799,0.37723489468070415,,44.96875,1,8,5.107739667852821,0.7674852385005607,8,1,0,56.875,76.69375000000002
dtss,short,CW,255,255,1,0,2021-01-06,117.0458,2.878386276199746,,69.625,1,32,5.403892206713776,0.21452492251159092,14,6,0,56.875,76.69375000000002
dtss,short,CW,578,578,1,0,2022-04-19,152.201,3.337909764367745,,56.65625,1,10,4.275064479481187,1.6674553193295534,9,2,0,56.875,76.69375000000002
dtss,short,CW,1270,1271,2,0,2025-01-23,383.1583,7.98595487903959,74.6875,61.25,1,13,6.329832816921032,0.07994469185329904,4,1,1,56.875,76.69375000000002
dtss,short,TW,260,260,1,0,2021-01-13,64.9343,1.7811559572267441,,72.0625,1,14,3.841232959565103,0.3627108945131958,10,13,0,56.875,76.69375000000002
dtss,short,TW,262,263,2,0,2021-01-19,64.2589,1.7001943043431784,,72.0625,1,11,3.6269001450439107,0.7772315594385658,7,10,0,56.875,76.69375000000002
dtss,short,TW,1042,1042,1,0,2024-02-23,104.2141,2.156022413961725,,88.5625,1,42,2.7902929098419995,1.4038247481926989,35,4,0,56.875,76.69375000000002
dtss,short,WMB,261,262,2,0,2021-01-15,17.4622,0.4880384445713223,,67.5625,1,23,2.313866627586283,1.26423983563965,7,20,0,56.875,76.69375000000002
dtss,short,IRTC,264,264,1,0,2021-01-20,268.46,13.18410714285714,,45.03125,1,24,10.073492164537932,1.344800964364564,7,5,0,56.875,76.69375000000002
dtss,short,SAIC,264,264,1,0,2021-01-20,94.0798,2.265006563095151,,67.8125,1,44,6.262682744372895,1.208951132795214,30,5,0,56.875,76.69375000000002
dtss,short,NTNX,274,274,1,0,2021-02-03,33.21,1.206985714285714,,59.28125,1,13,2.3778243321615844,1.9635692220289014,13,6,0,56.875,76.69375000000002
dtss,short,RIGL,274,274,1,0,2021-02-03,41.7,2.5178571428571415,,50.59375,1,17,0.5560283687943259,5.282269503546101,14,10,0,56.875,76.69375000000002
dtss,short,BAND,275,275,1,0,2021-02-04,186.8,8.646335714285716,,41.96875,1,13,3.5621910850756766,1.1449937091435072,12,7,0,56.875,76.69375000000002
dtss,short,BTAI,276,277,2,0,2021-02-08,960.0,60.825257142857126,,33.125,1,21,5.392496725984132,2.0359963248349833,18,3,0,56.875,76.69375000000002
dtss,short,ALKS,277,278,2,0,2021-02-09,23.2,0.9342857142857147,,51.8125,1,1,0.695718654434249,0.7706422018348646,1,1,0,56.875,76.69375000000002
dtss,short,ALKS,892,892,1,0,2023-07-20,31.97,0.6414285714285717,,56.125,1,3,1.7772828507795102,0.4521158129175932,3,1,0,56.875,76.69375000000002
dtss,short,MRNA,277,277,1,0,2021-02-08,185.98,11.802142857142856,,73.875,1,11,4.234824184470132,0.08642498335653419,10,1,0,56.875,76.69375000000002
dtss,short,MTB,277,277,1,0,2021-02-08,121.0648,3.332725638577403,,78.6875,1,47,0.6482353393021318,5.546793813086532,3,12,0,56.875,76.69375000000002
dtss,short,RARE,278,278,1,0,2021-02-09,167.73,8.019728571428567,,54.78125,1,1,0.8641190207719869,0.9065144705645559,1,1,0,56.875,76.69375000000002
dtss,short,PAGS,279,279,1,0,2021-02-10,58.3085,2.412983532204415,,60.96875,1,9,2.758730485663705,0.5266166066419514,8,1,0,56.875,76.69375000000002
dtss,short,BFAM,281,281,1,0,2021-02-12,178.18,4.6521428571428585,,70.9375,1,1,0.45785352372178606,0.9264547827422082,1,1,0,56.875,76.69375000000002
dtss,short,BFAM,921,921,1,0,2023-08-30,95.39,1.9164285714285714,,71.5,1,43,12.38762579202385,0.9653373089824794,42,2,0,56.875,76.69375000000002
dtss,short,HCM,282,282,1,0,2021-02-16,34.82,1.4360285714285703,,31.171875,1,11,4.268717295716363,0.32729153817074813,8,1,0,56.875,76.69375000000002
dtss,short,RGEN,282,282,1,0,2021-02-16,221.63,7.32532142857143,,72.9375,1,5,3.906995792481071,-0.11740099166784286,5,1,0,56.875,76.69375000000002
dtss,short,SMTC,284,284,1,0,2021-02-18,76.52,2.5210714285714277,,62.9375,1,18,4.823346083014592,1.4279643008924816,11,1,0,56.875,76.69375000000002
dtss,short,SMTC,505,505,1,0,2022-01-03,89.98,2.806128571428571,,64.75,1,49,10.54121336462539,0.7697437751044897,48,1,0,56.875,76.69375000000002
dtss,short,SMTC,1171,1171,1,0,2024-08-28,42.43,1.817414285714285,71.25,74.3125,0,60,2.0578687145787993,5.937006264787494,8,52,1,56.875,76.69375000000002
dtss,short,BKNG,286,286,1,0,2021-02-22,92.277,2.808477413386792,,73.5625,1,1,0.808838939205739,0.23738950565288988,1,1,0,56.875,76.69375000000002
dtss,short,BKNG,467,467,1,0,2021-11-08,103.658,2.5660634639679683,,45.875,0,60,8.91415683220661,0.7213142220109056,16,1,0,56.875,76.69375000000002
dtss,short,NWE,287,287,1,0,2021-02-23,46.8549,1.0000484138998686,,73.375,1,39,1.1109919253756673,9.283943191263347,6,39,0,56.875,76.69375000000002
dtss,short,NWE,291,291,1,0,2021-03-01,47.1071,1.1050224624560205,,73.375,1,35,1.2336814491513162,8.173763855518793,2,35,0,56.875,76.69375000000002
dtss,short,NWE,1310,1310,1,0,2025-03-20,53.7615,1.049675507890036,33.65625,89.6875,1,26,2.4797193635400996,3.045009188306128,14,10,0,56.875,76.69375000000002
dtss,short,PLNT,287,287,1,0,2021-02-23,83.98,3.5100000000000002,,71.6875,1,50,3.5982905982906006,1.8119658119658117,22,2,0,56.875,76.69375000000002
dtss,short,PLNT,506,506,1,0,2022-01-04,94.59,2.7208571428571418,,63.25,1,34,5.659981098393367,1.0070355980258308,13,6,0,56.875,76.69375000000002
dtss,short,PRI,287,287,1,0,2021-02-23,133.1081,2.670260591752765,,83.5,1,49,1.1361093838340501,7.19635146173992,7,38,0,56.875,76.69375000000002
dtss,short,HXL,288,288,1,0,2021-02-24,54.8427,1.870215297042263,,70.0,1,36,1.9838205903090145,4.0860935452463325,2,16,0,56.875,76.69375000000002
dtss,short,HXL,873,873,1,0,2023-06-22,70.9623,1.3689135884949681,,75.75,1,20,1.4156418924386085,4.417717825943661,2,13,0,56.875,76.69375000000002
dtss,short,CPA,291,292,2,0,2021-03-02,78.9466,2.851944383402935,,82.4375,1,44,5.832844456080594,0.291801791739392,34,1,0,56.875,76.69375000000002
dtss,short,CENX,292,292,1,0,2021-03-02,16.86,1.4660357142857143,,77.9375,1,44,1.9781237058150005,1.8689858461838305,28,7,0,56.875,76.69375000000002
dtss,short,PAA,294,294,1,0,2021-03-04,6.6006,0.29327244471969094,,69.4375,1,41,2.6425928539157835,0.6722278386153022,15,1,0,56.875,76.69375000000002
dtss,short,PAA,296,296,1,0,2021-03-08,6.5734,0.3287178372312208,,69.4375,1,39,2.2748983534491423,0.6408972769548713,13,5,0,56.875,76.69375000000002
dtss,short,PAA,1316,1316,1,0,2025-03-28,18.534,0.34717690352878094,78.8125,67.5,1,28,12.230273975200218,0.3698257836542832,8,3,1,56.875,76.69375000000002
