feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
ext_xavgc8_adr14,0.9464354,0.74475765,-0.43962502,0.8179287,1.6945982,73
dist_from_xavgc8_adr14,0.9464354,0.74475765,-0.43962502,0.8179287,1.6945982,73
slope_xavgc9_off1_adr14,0.26231614,0.19301312,-0.099795796,0.21390882,1.6928331,73
ext_xavgc9_adr14,1.0492646,0.77205247,-0.39918318,0.8556353,1.6928331,73
ext_slope_xavgc21_off3,0.57186216,1.1264672,-1.3696493,1.1483828,1.6906483,73
slope_xavgc8_off3_atr14,0.8063884,0.41435045,0.023279011,0.46366006,1.6889731,73
nr_c_maxh35_adr14,0.6782891,0.7086897,2.5957918,1.1358426,1.6881764,73
nr_c_maxh50_atr14,0.77704066,0.63244265,2.4505615,0.99139553,1.6880455,73
ext_xavgc10_adr14,1.1426358,0.7942472,-0.3553105,0.8883893,1.6861372,73
di_spread_14,27.884731,13.99104,1.2851391,15.7833805,1.6852912,73
nr_c_maxh60_atr14,0.80750304,0.6100794,2.4585361,0.9813829,1.6823537,73
ext_ceil_xavgc8_atr14_lb504,0.27637383,0.217396,-0.13378441,0.24403276,1.6807508,70
ext_avgc13_atr14,1.5407481,0.90603846,-0.1700614,1.0180331,1.6805047,73
es_ext50_bb_5_std2.0,0.6009864,0.23172867,0.29035175,0.18503359,1.6788015,73
es_ext50_bb_5_std1.5,0.63464123,0.30897748,0.22046575,0.246722,1.6787132,73
es_ext50_bb_5_std3.0,0.5673042,0.1544742,0.3602408,0.12335702,1.6785702,73
es_ext50_cci_10,70.6834,74.022575,-65.814476,81.326546,1.6783926,73
spread_slope_xavgc8_xavgc21_off3_atr14,0.29849958,0.28434113,-0.20574367,0.30055887,1.6776855,73
ext_xavgc5_atr14,0.52726734,0.5475881,-0.4604808,0.58898383,1.6770378,73
high_vs_avgc50_atr14,3.443346,0.85632133,1.5661302,1.1209967,1.6745954,73
ext_slope_avgc50_off5,1.2829604,1.3199975,-1.0473691,1.3935002,1.672285,73
ext_slope_xavgc21_atr14_5b,0.7684433,1.1559796,-1.2829716,1.2268516,1.6720971,73
high_vs_avgc50_adr14,3.6598887,0.9503599,1.6446716,1.2063642,1.6704884,73
ct_l_lt_l1_5,1.150685,0.7577604,2.5068493,0.81196344,1.6702284,73
